ID,salesOrder_ID,product_ID,quantity,unitPrice,currency
e5f6a7b8-0005-4000-8000-000000000001,c3d4e5f6-0003-4000-8000-000000000001,b2c3d4e5-0002-4000-8000-000000000001,1,449.99,USD
e5f6a7b8-0005-4000-8000-000000000002,c3d4e5f6-0003-4000-8000-000000000001,b2c3d4e5-0002-4000-8000-000000000003,1,599.95,USD
e5f6a7b8-0005-4000-8000-000000000003,c3d4e5f6-0003-4000-8000-000000000002,b2c3d4e5-0002-4000-8000-000000000011,1,22500.00,EUR
e5f6a7b8-0005-4000-8000-000000000004,c3d4e5f6-0003-4000-8000-000000000002,b2c3d4e5-0002-4000-8000-000000000020,1,549.00,EUR
e5f6a7b8-0005-4000-8000-000000000005,c3d4e5f6-0003-4000-8000-000000000003,b2c3d4e5-0002-4000-8000-000000000002,1,299.00,USD
e5f6a7b8-0005-4000-8000-000000000006,c3d4e5f6-0003-4000-8000-000000000003,b2c3d4e5-0002-4000-8000-000000000006,2,149.00,USD
e5f6a7b8-0005-4000-8000-000000000007,c3d4e5f6-0003-4000-8000-000000000004,b2c3d4e5-0002-4000-8000-000000000015,1,225.00,JPY
e5f6a7b8-0005-4000-8000-000000000008,c3d4e5f6-0003-4000-8000-000000000004,b2c3d4e5-0002-4000-8000-000000000010,1,450.00,JPY
e5f6a7b8-0005-4000-8000-000000000009,c3d4e5f6-0003-4000-8000-000000000005,b2c3d4e5-0002-4000-8000-000000000002,1,549.90,BRL
e5f6a7b8-0005-4000-8000-000000000010,c3d4e5f6-0003-4000-8000-000000000005,b2c3d4e5-0002-4000-8000-000000000007,3,183.33,BRL
e5f6a7b8-0005-4000-8000-000000000011,c3d4e5f6-0003-4000-8000-000000000006,b2c3d4e5-0002-4000-8000-000000000006,2,149.99,CHF
e5f6a7b8-0005-4000-8000-000000000012,c3d4e5f6-0003-4000-8000-000000000006,b2c3d4e5-0002-4000-8000-000000000010,2,75.00,CHF
e5f6a7b8-0005-4000-8000-000000000013,c3d4e5f6-0003-4000-8000-000000000007,b2c3d4e5-0002-4000-8000-000000000002,2,194.97,USD
e5f6a7b8-0005-4000-8000-000000000014,c3d4e5f6-0003-4000-8000-000000000007,b2c3d4e5-0002-4000-8000-000000000007,2,194.97,USD
e5f6a7b8-0005-4000-8000-000000000015,c3d4e5f6-0003-4000-8000-000000000008,b2c3d4e5-0002-4000-8000-000000000009,5,18.50,INR
e5f6a7b8-0005-4000-8000-000000000016,c3d4e5f6-0003-4000-8000-000000000008,b2c3d4e5-0002-4000-8000-000000000004,2,47.25,INR
e5f6a7b8-0005-4000-8000-000000000017,c3d4e5f6-0003-4000-8000-000000000009,b2c3d4e5-0002-4000-8000-000000000005,3,174.95,NOK
e5f6a7b8-0005-4000-8000-000000000018,c3d4e5f6-0003-4000-8000-000000000009,b2c3d4e5-0002-4000-8000-000000000009,15,49.00,NOK
e5f6a7b8-0005-4000-8000-000000000019,c3d4e5f6-0003-4000-8000-000000000010,b2c3d4e5-0002-4000-8000-000000000010,3,127.98,AUD
e5f6a7b8-0005-4000-8000-000000000020,c3d4e5f6-0003-4000-8000-000000000010,b2c3d4e5-0002-4000-8000-000000000015,4,64.00,AUD
e5f6a7b8-0005-4000-8000-000000000021,c3d4e5f6-0003-4000-8000-000000000011,b2c3d4e5-0002-4000-8000-000000000014,4,45.00,ZAR
e5f6a7b8-0005-4000-8000-000000000022,c3d4e5f6-0003-4000-8000-000000000011,b2c3d4e5-0002-4000-8000-000000000009,4,22.50,ZAR
e5f6a7b8-0005-4000-8000-000000000023,c3d4e5f6-0003-4000-8000-000000000012,b2c3d4e5-0002-4000-8000-000000000001,1,619.00,CAD
e5f6a7b8-0005-4000-8000-000000000024,c3d4e5f6-0003-4000-8000-000000000012,b2c3d4e5-0002-4000-8000-000000000010,5,95.80,CAD
e5f6a7b8-0005-4000-8000-000000000025,c3d4e5f6-0003-4000-8000-000000000013,b2c3d4e5-0002-4000-8000-000000000013,2,369.00,AED
e5f6a7b8-0005-4000-8000-000000000026,c3d4e5f6-0003-4000-8000-000000000013,b2c3d4e5-0002-4000-8000-000000000017,3,53.17,AED
e5f6a7b8-0005-4000-8000-000000000027,c3d4e5f6-0003-4000-8000-000000000014,b2c3d4e5-0002-4000-8000-000000000003,1,449.00,KRW
e5f6a7b8-0005-4000-8000-000000000028,c3d4e5f6-0003-4000-8000-000000000014,b2c3d4e5-0002-4000-8000-000000000006,1,269.99,KRW
e5f6a7b8-0005-4000-8000-000000000029,c3d4e5f6-0003-4000-8000-000000000015,b2c3d4e5-0002-4000-8000-000000000005,10,18.50,EUR
e5f6a7b8-0005-4000-8000-000000000030,c3d4e5f6-0003-4000-8000-000000000015,b2c3d4e5-0002-4000-8000-000000000014,8,45.50,EUR
e5f6a7b8-0005-4000-8000-000000000031,c3d4e5f6-0003-4000-8000-000000000016,b2c3d4e5-0002-4000-8000-000000000016,1,310.00,EUR
e5f6a7b8-0005-4000-8000-000000000032,c3d4e5f6-0003-4000-8000-000000000016,b2c3d4e5-0002-4000-8000-000000000005,7,18.57,EUR
e5f6a7b8-0005-4000-8000-000000000033,c3d4e5f6-0003-4000-8000-000000000017,b2c3d4e5-0002-4000-8000-000000000002,1,420.87,MXN
e5f6a7b8-0005-4000-8000-000000000034,c3d4e5f6-0003-4000-8000-000000000017,b2c3d4e5-0002-4000-8000-000000000006,1,188.00,MXN
e5f6a7b8-0005-4000-8000-000000000035,c3d4e5f6-0003-4000-8000-000000000018,b2c3d4e5-0002-4000-8000-000000000006,1,202.00,SGD
e5f6a7b8-0005-4000-8000-000000000036,c3d4e5f6-0003-4000-8000-000000000018,b2c3d4e5-0002-4000-8000-000000000003,1,756.00,SGD
e5f6a7b8-0005-4000-8000-000000000037,c3d4e5f6-0003-4000-8000-000000000019,b2c3d4e5-0002-4000-8000-000000000019,3,72.00,PLN
e5f6a7b8-0005-4000-8000-000000000038,c3d4e5f6-0003-4000-8000-000000000019,b2c3d4e5-0002-4000-8000-000000000010,2,84.40,PLN
e5f6a7b8-0005-4000-8000-000000000039,c3d4e5f6-0003-4000-8000-000000000020,b2c3d4e5-0002-4000-8000-000000000004,8,58.50,TRY
e5f6a7b8-0005-4000-8000-000000000040,c3d4e5f6-0003-4000-8000-000000000020,b2c3d4e5-0002-4000-8000-000000000009,10,20.40,TRY
e5f6a7b8-0005-4000-8000-000000000041,c3d4e5f6-0003-4000-8000-000000000021,b2c3d4e5-0002-4000-8000-000000000001,3,449.99,USD
e5f6a7b8-0005-4000-8000-000000000042,c3d4e5f6-0003-4000-8000-000000000021,b2c3d4e5-0002-4000-8000-000000000003,1,599.95,USD
